기간	자치구	행정동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019.3/4	종로구	교남동	외국인	155	5	4	8	4	6	9	28	20	22	10	12	10	9	2	3	1	-	1	1	-	-
2019.3/4	종로구	가회동	계	4,487	85	132	166	202	226	260	290	344	348	459	372	378	309	262	227	211	106	63	32	5	10
2019.3/4	종로구	가회동	한국인	4,380	84	132	165	199	222	253	277	330	332	450	361	367	299	258	225	210	106	63	32	5	10
2019.3/4	종로구	가회동	외국인	107	1	-	1	3	4	7	13	14	16	9	11	11	10	4	2	1	-	-	-	-	-
2019.3/4	종로구	종로1.2.3.4가동	계	8,630	137	158	129	242	571	655	573	576	529	695	715	886	848	599	465	374	234	119	56	32	37
2019.3/4	종로구	종로1.2.3.4가동	한국인	7,331	103	109	99	158	363	528	449	457	395	565	616	814	805	573	454	369	232	118	55	32	37
2019.3/4	종로구	종로1.2.3.4가동	외국인	1,299	34	49	30	84	208	127	124	119	134	130	99	72	43	26	11	5	2	1	1	-	-
2019.3/4	종로구	종로5·6가동	계	5,717	67	70	96	227	572	665	428	305	288	429	498	535	435	325	303	232	135	60	27	12	8
2019.3/4	종로구	종로5·6가동	한국인	5,215	62	63	88	186	427	569	387	273	256	401	477	510	416	324	303	232	135	59	27	12	8
2019.3/4	종로구	종로5·6가동	외국인	502	5	7	8	41	145	96	41	32	32	28	21	25	19	1	-	-	-	1	-	-	-
2019.3/4	종로구	이화동	계	8,566	138	162	204	362	902	1,211	838	614	455	631	564	610	507	397	317	305	199	96	27	13	14
2019.3/4	종로구	이화동	한국인	7,924	127	159	203	274	645	1,094	772	582	435	615	552	602	500	393	317	305	199	96	27	13	14
2019.3/4	종로구	이화동	외국인	642	11	3	1	88	257	117	66	32	20	16	12	8	7	4	-	-	-	-	-	-	-
2019.3/4	종로구	창신1동	계	6,098	100	104	115	195	451	427	327	341	349	491	643	741	598	405	305	261	142	56	29	12	6
2019.3/4	종로구	창신1동	한국인	5,248	87	89	107	170	272	335	254	283	300	420	532	634	563	394	304	260	142	55	29	12	6
2019.3/4	종로구	창신1동	외국인	850	13	15	8	25	179	92	73	58	49	71	111	107	35	11	1	1	-	1	-	-	-
2019.3/4	종로구	창신2동	계	9,825	149	179	219	414	863	773	593	502	541	862	1,085	1,085	859	537	424	388	218	80	34	8	12
2019.3/4	종로구	창신2동	한국인	8,613	130	161	211	370	602	649	491	434	473	775	957	913	775	521	417	385	215	80	34	8	12
2019.3/4	종로구	창신2동	외국인	1,212	19	18	8	44	261	124	102	68	68	87	128	172	84	16	7	3	3	-	-	-	-
2019.3/4	종로구	창신3동	계	7,322	224	210	263	330	509	555	546	525	450	597	648	678	590	379	281	254	151	81	27	12	12
2019.3/4	종로구	창신3동	한국인	7,163	213	206	258	330	479	534	530	507	435	587	639	666	586	378	279	254	150	81	27	12	12
2019.3/4	종로구	창신3동	외국인	159	11	4	5	-	30	21	16	18	15	10	9	12	4	1	2	-	1	-	-	-	-
2019.3/4	종로구	숭인1동	계	6,613	148	204	190	249	410	499	452	529	448	612	594	625	486	374	273	266	146	69	21	10	8
2019.3/4	종로구	숭인1동	한국인	6,263	138	195	186	239	367	467	407	486	420	577	554	588	477	369	273	266	146	69	21	10	8
2019.3/4	종로구	숭인1동	외국인	350	10	9	4	10	43	32	45	43	28	35	40	37	9	5	-	-	-	-	-	-	-
2019.3/4	종로구	숭인2동	계	9,972	159	178	145	242	811	1,246	920	685	581	766	868	932	804	526	407	363	192	82	33	15	17
2019.3/4	종로구	숭인2동	한국인	9,488	153	174	141	237	675	1,174	873	642	561	741	838	874	782	518	404	362	192	82	33	15	17
2019.3/4	종로구	숭인2동	외국인	484	6	4	4	5	136	72	47	43	20	25	30	58	22	8	3	1	-	-	-	-	-
2019.3/4	종로구	청운효자동	계	13,090	396	528	614	702	861	841	834	1,033	1,080	1,224	1,092	917	768	574	551	499	328	151	56	24	17
2019.3/4	종로구	청운효자동	한국인	12,842	394	522	609	688	808	826	809	1,000	1,056	1,216	1,079	901	758	561	545	495	328	150	56	24	17
2019.3/4	종로구	청운효자동	외국인	248	2	6	5	14	53	15	25	33	24	8	13	16	10	13	6	4	-	1	-	-	-
2019.3/4	종로구	혜화동	계	20,948	284	506	586	1,339	4,890	2,680	1,339	1,097	1,061	1,323	1,163	1,152	909	654	641	625	407	194	64	15	19
2019.3/4	종로구	혜화동	한국인	17,099	279	502	582	885	2,400	2,087	1,200	1,035	1,033	1,304	1,147	1,132	901	651	638	625	407	193	64	15	19
2019.3/4	종로구	혜화동	외국인	3,849	5	4	4	454	2,490	593	139	62	28	19	16	20	8	3	3	-	-	1	-	-	-
2019.3/4	중구	소계	계	136,663	4,051	3,968	3,374	4,615	9,906	12,128	11,178	11,414	9,363	10,637	11,087	11,636	10,281	7,047	5,691	4,776	3,020	1,495	608	198	190
2019.3/4	중구	소계	한국인	126,409	3,729	3,717	3,193	4,237	7,746	10,766	10,143	10,588	8,662	9,928	10,337	10,776	9,854	6,899	5,636	4,727	2,996	1,482	607	196	190
2019.3/4	중구	소계	외국인	10,254	322	251	181	378	2,160	1,362	1,035	826	701	709	750	860	427	148	55	49	24	13	1	2	-
2019.3/4	중구	소공동	계	3,045	130	176	91	81	100	208	325	401	370	273	242	180	183	104	61	55	34	15	6	6	4
2019.3/4	중구	소공동	한국인	2,045	79	113	48	50	73	138	191	261	239	177	167	118	137	89	57	47	31	15	6	5	4
2019.3/4	중구	소공동	외국인	1,000	51	63	43	31	27	70	134	140	131	96	75	62	46	15	4	8	3	-	-	1	-
2019.3/4	중구	회현동	계	5,864	116	143	118	123	226	337	326	361	371	468	476	690	661	468	314	261	184	94	62	26	39
2019.3/4	중구	회현동	한국인	5,264	99	126	97	106	202	312	279	288	308	402	431	619	610	436	302	249	182	90	61	26	39
2019.3/4	중구	회현동	외국인	600	17	17	21	17	24	25	47	73	63	66	45	71	51	32	12	12	2	4	1	-	-
2019.3/4	중구	명동	계	3,497	50	86	70	84	198	284	242	249	249	320	313	293	327	235	175	150	87	46	20	12	7
2019.3/4	중구	명동	한국인	2,835	37	65	56	68	109	198	174	181	187	263	245	251	299	218	172	145	84	44	20	12	7
2019.3/4	중구	명동	외국인	662	13	21	14	16	89	86	68	68	62	57	68	42	28	17	3	5	3	2	-	-	-
2019.3/4	중구	필동	계	5,054	120	113	70	205	811	571	423	352	248	288	333	335	373	237	188	166	100	64	37	11	9
2019.3/4	중구	필동	한국인	4,021	106	111	69	120	319	345	333	315	234	270	319	311	363	234	187	166	99	63	37	11	9
2019.3/4	중구	필동	외국인	1,033	14	2	1	85	492	226	90	37	14	18	14	24	10	3	1	-	1	1	-	-	-
2019.3/4	중구	장충동	계	5,628	106	116	137	267	950	776	411	366	315	388	321	349	326	219	200	184	117	45	26	6	3
2019.3/4	중구	장충동	한국인	4,711	87	101	124	214	599	579	361	331	273	337	303	311	302	212	199	182	116	45	26	6	3
2019.3/4	중구	장충동	외국인	917	19	15	13	53	351	197	50	35	42	51	18	38	24	7	1	2	1	-	-	-	-
2019.3/4	중구	광희동	계	6,221	98	103	94	156	560	646	534	438	390	416	497	605	518	398	304	221	134	63	25	8	13
2019.3/4	중구	광희동	한국인	4,931	67	83	88	117	274	451	389	341	279	331	406	494	469	384	302	218	131	61	25	8	13
2019.3/4	중구	광희동	외국인	1,290	31	20	6	39	286	195	145	97	111	85	91	111	49	14	2	3	3	2	-	-	-
2019.3/4	중구	을지로동	계	2,002	28	23	18	28	130	165	174	122	107	108	164	229	221	177	111	87	55	24	19	3	9
2019.3/4	중구	을지로동	한국인	1,806	27	21	15	23	74	128	162	98	96	102	154	217	214	173	108	86	53	24	19	3	9
2019.3/4	중구	을지로동	외국인	196	1	2	3	5	56	37	12	24	11	6	10	12	7	4	3	1	2	-	-	-	-
2019.3/4	중구	신당5동	계	10,846	329	329	261	370	744	1,007	903	928	763	900	982	940	734	503	444	359	208	95	28	9	10
2019.3/4	중구	신당5동	한국인	10,497	321	321	258	364	692	960	859	901	745	873	949	894	716	499	439	357	207	95	28	9	10
2019.3/4	중구	신당5동	외국인	349	8	8	3	6	52	47	44	27	18	27	33	46	18	4	5	2	1	-	-	-	-
2019.3/4	중구	황학동	계	13,669	502	340	245	337	894	1,521	1,550	1,479	937	1,005	1,017	1,039	891	653	493	374	209	126	35	12	10
2019.3/4	중구	황학동	한국인	12,631	445	305	227	314	732	1,412	1,427	1,409	879	929	919	911	835	636	490	372	206	126	35	12	10
2019.3/4	중구	황학동	외국인	1,038	57	35	18	23	162	109	123	70	58	76	98	128	56	17	3	2	3	-	-	-	-
2019.3/4	중구	중림동	계	13,007	634	467	369	442	706	914	1,128	1,413	1,024	1,008	1,017	1,047	841	590	512	399	272	129	44	21	30
2019.3/4	중구	중림동	한국인	12,682	617	459	366	434	671	879	1,085	1,373	998	978	991	1,024	829	583	506	396	271	127	44	21	30
2019.3/4	중구	중림동	외국인	325	17	8	3	8	35	35	43	40	26	30	26	23	12	7	6	3	1	2	-	-	-
2019.3/4	중구	신당동	계	9,336	187	155	165	247	875	1,002	832	725	576	775	863	947	635	394	366	299	155	82	39	9	8
2019.3/4	중구	신당동	한국인	7,600	140	128	143	191	497	821	681	600	488	657	671	730	540	376	355	294	152	81	39	8	8
2019.3/4	중구	신당동	외국인	1,736	47	27	22	56	378	181	151	125	88	118	192	217	95	18	11	5	3	1	-	1	-
2019.3/4	중구	다산동	계	15,075	321	355	375	590	1,208	1,455	1,271	1,151	978	1,247	1,238	1,211	1,144	767	648	576	316	138	60	13	13
2019.3/4	중구	다산동	한국인	14,551	308	347	364	573	1,055	1,360	1,221	1,118	950	1,211	1,211	1,178	1,133	764	646	573	315	138	60	13	13
2019.3/4	중구	다산동	외국인	524	13	8	11	17	153	95	50	33	28	36	27	33	11	3	2	3	1	-	-	-	-
2019.3/4	중구	약수동	계	17,760	609	674	490	607	907	1,180	1,215	1,457	1,252	1,381	1,438	1,495	1,512	1,049	883	720	520	236	104	19	12
2019.3/4	중구	약수동	한국인	17,553	604	660	479	596	896	1,167	1,188	1,432	1,234	1,363	1,416	1,480	1,503	1,044	883	718	520	235	104	19	12
2019.3/4	중구	약수동	외국인	207	5	14	11	11	11	13	27	25	18	18	22	15	9	5	-	2	-	1	-	-	-
2019.3/4	중구	청구동	계	14,595	421	459	438	593	893	1,176	1,196	1,143	992	1,144	1,184	1,276	1,108	724	601	578	364	215	57	23	10
2019.3/4	중구	청구동	한국인	14,381	408	456	430	582	859	1,151	1,172	1,126	970	1,130	1,169	1,255	1,102	724	601	577	364	215	57	23	10
2019.3/4	중구	청구동	외국인	214	13	3	8	11	34	25	24	17	22	14	15	21	6	-	-	1	-	-	-	-	-
2019.3/4	중구	동화동	계	11,064	400	429	433	485	704	886	648	829	791	916	1,002	1,000	807	529	391	347	265	123	46	20	13
2019.3/4	중구	동화동	한국인	10,901	384	421	429	485	694	865	621	814	782	905	986	983	802	527	389	347	265	123	46	20	13
2019.3/4	중구	동화동	외국인	163	16	8	4	-	10	21	27	15	9	11	16	17	5	2	2	-	-	-	-	-	-
2019.3/4	용산구	소계	계	244,989	7,466	8,253	7,973	9,720	15,257	20,779	20,573	21,607	18,340	21,238	19,490	19,081	16,681	11,276	9,273	8,028	5,475	2,629	1,106	396	348
2019.3/4	용산구	소계	한국인	228,830	6,823	7,432	7,390	9,245	13,782	19,007	18,491	19,570	16,616	19,804	18,328	18,097	16,172	11,024	9,170	7,967	5,447	2,626	1,100	393	346
2019.3/4	용산구	소계	외국인	16,159	643	821	583	475	1,475	1,772	2,082	2,037	1,724	1,434	1,162	984	509	252	103	61	28	3	6	3	2
2019.3/4	용산구	후암동	계	18,547	521	590	630	808	1,131	1,567	1,461	1,566	1,312	1,638	1,519	1,528	1,285	912	741	597	401	183	89	42	26
2019.3/4	용산구	후암동	한국인	18,004	505	580	613	791	1,101	1,531	1,409	1,502	1,255	1,574	1,470	1,454	1,257	895	736	594	398	183	89	41	26
2019.3/4	용산구	후암동	외국인	543	16	10	17	17	30	36	52	64	57	64	49	74	28	17	5	3	3	-	-	1	-
2019.3/4	용산구	용산2가동	계	11,831	273	251	307	426	731	1,232	1,166	1,097	814	945	786	891	861	599	526	421	285	127	52	21	20
2019.3/4	용산구	용산2가동	한국인	10,485	239	217	274	395	610	1,000	923	912	672	839	709	838	829	587	520	418	283	127	52	21	20
2019.3/4	용산구	용산2가동	외국인	1,346	34	34	33	31	121	232	243	185	142	106	77	53	32	12	6	3	2	-	-	-	-
2019.3/4	용산구	남영동	계	8,521	130	138	121	194	571	661	596	556	515	785	866	957	836	537	393	303	183	84	41	22	32
2019.3/4	용산구	남영동	한국인	7,794	117	119	108	172	377	594	540	496	471	723	812	891	799	527	391	297	182	84	41	22	31
2019.3/4	용산구	남영동	외국인	727	13	19	13	22	194	67	56	60	44	62	54	66	37	10	2	6	1	-	-	-	1
2019.3/4	용산구	원효로2동	계	14,779	473	579	641	765	899	1,024	1,009	1,170	1,129	1,344	1,213	1,171	1,000	694	611	450	353	164	57	20	13
2019.3/4	용산구	원효로2동	한국인	14,632	468	574	639	764	893	1,008	992	1,154	1,110	1,329	1,200	1,153	989	694	610	449	352	164	57	20	13
2019.3/4	용산구	원효로2동	외국인	147	5	5	2	1	6	16	17	16	19	15	13	18	11	-	1	1	1	-	-	-	-
2019.3/4	용산구	효창동	계	10,179	398	390	355	487	679	870	888	962	724	860	823	739	594	396	344	289	214	105	38	12	12
2019.3/4	용산구	효창동	한국인	10,056	392	385	352	486	669	857	864	950	714	848	813	733	588	394	343	287	214	105	38	12	12
2019.3/4	용산구	효창동	외국인	123	6	5	3	1	10	13	24	12	10	12	10	6	6	2	1	2	-	-	-	-	-
2019.3/4	용산구	용문동	계	12,649	439	424	405	554	807	1,008	1,010	1,097	913	1,076	1,054	980	864	630	510	432	255	110	54	14	13
2019.3/4	용산구	용문동	한국인	12,508	437	421	400	551	796	995	992	1,087	895	1,061	1,033	969	856	629	510	431	254	110	54	14	13
2019.3/4	용산구	용문동	외국인	141	2	3	5	3	11	13	18	10	18	15	21	11	8	1	-	1	1	-	-	-	-
2019.3/4	용산구	이촌1동	계	29,251	1,298	1,756	1,643	1,488	1,535	1,499	1,663	2,353	2,486	2,939	2,414	2,059	1,741	1,112	964	927	714	403	163	60	34
2019.3/4	용산구	이촌1동	한국인	28,319	1,238	1,651	1,570	1,457	1,523	1,485	1,605	2,239	2,347	2,823	2,340	2,006	1,702	1,087	952	924	710	403	163	60	34
2019.3/4	용산구	이촌1동	외국인	932	60	105	73	31	12	14	58	114	139	116	74	53	39	25	12	3	4	-	-	-	-
2019.3/4	용산구	이촌2동	계	9,025	330	284	250	302	449	556	752	846	594	681	707	756	788	511	410	364	247	121	49	14	14
2019.3/4	용산구	이촌2동	한국인	8,920	325	277	244	299	449	551	745	828	579	672	697	747	784	506	408	364	247	121	49	14	14
2019.3/4	용산구	이촌2동	외국인	105	5	7	6	3	-	5	7	18	15	9	10	9	4	5	2	-	-	-	-	-	-
2019.3/4	용산구	이태원1동	계	9,086	206	188	173	237	700	1,068	907	838	656	630	612	698	604	462	338	312	227	140	51	18	21
2019.3/4	용산구	이태원1동	한국인	6,875	146	125	131	179	361	648	553	541	442	491	513	627	583	447	328	307	226	140	49	17	21
2019.3/4	용산구	이태원1동	외국인	2,211	60	63	42	58	339	420	354	297	214	139	99	71	21	15	10	5	1	-	2	1	-
2019.3/4	용산구	이태원2동	계	10,812	310	316	280	352	602	1,039	1,059	1,050	815	892	719	766	727	494	457	436	285	127	55	17	14
2019.3/4	용산구	이태원2동	한국인	9,298	236	239	227	311	494	856	828	841	657	752	628	696	690	469	447	430	284	127	55	17	14
2019.3/4	용산구	이태원2동	외국인	1,514	74	77	53	41	108	183	231	209	158	140	91	70	37	25	10	6	1	-	-	-	-
2019.3/4	용산구	서빙고동	계	14,122	361	592	712	921	955	905	756	1,002	1,146	1,532	1,288	1,047	841	534	423	425	417	184	61	13	7
2019.3/4	용산구	서빙고동	한국인	13,356	320	531	668	886	929	870	691	889	1,056	1,465	1,207	996	816	521	414	417	415	184	61	13	7
2019.3/4	용산구	서빙고동	외국인	766	41	61	44	35	26	35	65	113	90	67	81	51	25	13	9	8	2	-	-	-	-
2019.3/4	용산구	보광동	계	15,897	315	317	377	544	1,025	1,593	1,289	1,358	1,086	1,380	1,347	1,365	1,194	787	704	559	364	175	62	36	20
2019.3/4	용산구	보광동	한국인	14,533	244	266	350	529	900	1,393	1,074	1,162	936	1,274	1,267	1,279	1,172	776	700	557	363	175	61	35	20
2019.3/4	용산구	보광동	외국인	1,364	71	51	27	15	125	200	215	196	150	106	80	86	22	11	4	2	1	-	1	1	-
2019.3/4	용산구	청파동	계	20,715	363	417	516	839	2,027	2,381	1,757	1,467	1,347	1,656	1,640	1,642	1,375	960	783	789	449	180	67	27	33
2019.3/4	용산구	청파동	한국인	19,912	352	409	506	815	1,797	2,258	1,663	1,424	1,307	1,617	1,591	1,563	1,346	946	778	786	449	179	67	27	32
2019.3/4	용산구	청파동	외국인	803	11	8	10	24	230	123	94	43	40	39	49	79	29	14	5	3	-	1	-	-	1
2019.3/4	용산구	원효로1동	계	16,471	761	691	431	482	945	1,584	1,874	1,903	1,418	1,294	1,092	1,115	966	626	464	381	242	114	54	18	16
2019.3/4	용산구	원효로1동	한국인	15,834	724	654	415	466	908	1,534	1,791	1,820	1,353	1,240	1,035	1,068	937	613	457	378	240	113	54	18	16
2019.3/4	용산구	원효로1동	외국인	637	37	37	16	16	37	50	83	83	65	54	57	47	29	13	7	3	2	1	-	-	-
2019.3/4	용산구	한강로동	계	19,504	605	556	478	553	1,043	1,770	2,089	1,809	1,455	1,517	1,622	1,602	1,395	916	724	595	398	201	104	31	41
2019.3/4	용산구	한강로동	한국인	17,869	513	416	388	499	1,007	1,704	1,932	1,610	1,241	1,331	1,482	1,494	1,318	876	706	584	395	200	101	31	41
2019.3/4	용산구	한강로동	외국인	1,635	92	140	90	54	36	66	157	199	214	186	140	108	77	40	18	11	3	1	3	-	-
2019.3/4	용산구	한남동	계	23,600	683	764	654	768	1,158	2,022	2,297	2,533	1,930	2,069	1,788	1,765	1,610	1,106	881	748	441	211	109	31	32
2019.3/4	용산구	한남동	한국인	20,435	567	568	505	645	968	1,723	1,889	2,115	1,581	1,765	1,531	1,583	1,506	1,057	870	744	435	211	109	31	32
2019.3/4	용산구	한남동	외국인	3,165	116	196	149	123	190	299	408	418	349	304	257	182	104	49	11	4	6	-	-	-	-
2019.3/4	성동구	소계	계	311,290	11,538	11,025	9,846	12,519	22,763	26,886	25,336	27,629	22,888	25,789	24,931	25,203	21,275	14,040	11,204	9,169	5,531	2,383	847	252	236
2019.3/4	성동구	소계	한국인	303,158	11,351	10,886	9,775	12,209	20,637	25,733	24,529	27,045	22,421	25,246	24,307	24,535	20,972	13,945	11,177	9,159	5,524	2,379	845	250	233
2019.3/4	성동구	소계	외국인	8,132	187	139	71	310	2,126	1,153	807	584	467	543	624	668	303	95	27	10	7	4	2	2	3
2019.3/4	성동구	왕십리2동	계	17,953	697	608	597	763	1,187	1,537	1,555	1,599	1,321	1,533	1,429	1,443	1,219	828	640	495	293	126	41	23	19
2019.3/4	성동구	왕십리2동	한국인	17,519	683	602	594	749	1,093	1,474	1,512	1,562	1,292	1,503	1,388	1,407	1,203	824	636	495	293	126	41	23	19
2019.3/4	성동구	왕십리2동	외국인	434	14	6	3	14	94	63	43	37	29	30	41	36	16	4	4	-	-	-	-	-	-
2019.3/4	성동구	마장동	계	24,137	674	698	784	1,097	2,211	2,572	1,811	1,688	1,421	1,895	1,966	2,031	1,677	1,175	929	754	448	207	68	15	16
2019.3/4	성동구	마장동	한국인	23,451	661	691	779	1,069	2,017	2,459	1,746	1,644	1,383	1,848	1,904	1,988	1,658	1,169	929	753	447	207	68	15	16
2019.3/4	성동구	마장동	외국인	686	13	7	5	28	194	113	65	44	38	47	62	43	19	6	-	1	1	-	-	-	-
2019.3/4	성동구	사근동	계	13,630	245	237	243	735	3,331	2,494	1,080	729	562	698	652	623	550	392	389	370	192	67	24	9	8
2019.3/4	성동구	사근동	한국인	11,775	237	232	243	618	2,215	2,097	975	691	547	679	636	617	543	388	388	370	192	67	24	9	7
2019.3/4	성동구	사근동	외국인	1,855	8	5	-	117	1,116	397	105	38	15	19	16	6	7	4	1	-	-	-	-	-	1
2019.3/4	성동구	행당1동	계	16,659	531	572	481	686	1,398	1,592	1,337	1,358	1,210	1,317	1,318	1,396	1,168	725	588	504	273	137	42	17	9
2019.3/4	성동구	행당1동	한국인	16,109	525	563	478	666	1,164	1,512	1,287	1,342	1,184	1,299	1,296	1,351	1,150	725	586	504	272	137	42	17	9
2019.3/4	성동구	행당1동	외국인	550	6	9	3	20	234	80	50	16	26	18	22	45	18	-	2	-	1	-	-	-	-
2019.3/4	성동구	행당2동	계	24,748	960	1,058	1,114	1,215	1,559	1,551	1,725	2,142	2,060	2,336	2,065	1,881	1,545	1,116	939	730	449	183	80	20	20
2019.3/4	성동구	행당2동	한국인	24,663	960	1,057	1,110	1,213	1,548	1,544	1,714	2,135	2,048	2,325	2,058	1,874	1,543	1,116	939	729	448	183	80	20	19
2019.3/4	성동구	행당2동	외국인	85	-	1	4	2	11	7	11	7	12	11	7	7	2	-	-	1	1	-	-	-	1
2019.3/4	성동구	응봉동	계	16,228	539	754	954	868	927	873	982	1,362	1,469	1,681	1,324	1,131	948	706	615	563	318	147	50	11	6
2019.3/4	성동구	응봉동	한국인	16,161	537	753	954	868	921	867	976	1,350	1,461	1,674	1,314	1,125	946	705	615	563	318	147	50	11	6
2019.3/4	성동구	응봉동	외국인	67	2	1	-	-	6	6	6	12	8	7	10	6	2	1	-	-	-	-	-	-	-
2019.3/4	성동구	금호1가동	계	15,974	722	629	527	656	917	1,016	1,263	1,646	1,282	1,360	1,253	1,195	1,144	777	601	470	314	140	41	8	13
2019.3/4	성동구	금호1가동	한국인	15,871	718	624	525	654	914	1,008	1,247	1,631	1,271	1,349	1,250	1,183	1,139	774	598	470	314	140	41	8	13
2019.3/4	성동구	금호1가동	외국인	103	4	5	2	2	3	8	16	15	11	11	3	12	5	3	3	-	-	-	-	-	-
2019.3/4	성동구	금호4가동	계	15,283	797	715	536	478	730	954	1,295	1,661	1,361	1,312	1,106	1,126	1,017	687	579	466	282	118	39	15	9
2019.3/4	성동구	금호4가동	한국인	15,135	796	713	533	473	702	946	1,282	1,648	1,344	1,300	1,091	1,111	1,005	684	579	466	282	117	39	15	9
2019.3/4	성동구	금호4가동	외국인	148	1	2	3	5	28	8	13	13	17	12	15	15	12	3	-	-	-	1	-	-	-
2019.3/4	성동구	성수1가1동	계	17,331	596	555	517	771	1,150	1,574	1,541	1,468	1,200	1,493	1,622	1,520	1,263	705	538	398	249	117	34	10	10
2019.3/4	성동구	성수1가1동	한국인	16,998	588	546	513	762	1,123	1,535	1,488	1,436	1,173	1,457	1,590	1,481	1,257	699	535	398	248	117	33	10	9
2019.3/4	성동구	성수1가1동	외국인	333	8	9	4	9	27	39	53	32	27	36	32	39	6	6	3	-	1	-	1	-	1
2019.3/4	성동구	성수1가2동	계	15,084	468	481	476	586	1,005	1,421	1,517	1,346	1,128	1,270	1,152	1,189	1,077	642	487	417	247	113	38	9	15
2019.3/4	성동구	성수1가2동	한국인	14,665	451	465	474	580	949	1,354	1,446	1,301	1,108	1,247	1,117	1,148	1,063	638	486	417	247	113	38	8	15
2019.3/4	성동구	성수1가2동	외국인	419	17	16	2	6	56	67	71	45	20	23	35	41	14	4	1	-	-	-	-	1	-
2019.3/4	성동구	성수2가1동	계	17,979	504	469	453	618	1,018	1,547	1,481	1,373	1,199	1,500	1,595	1,967	1,551	957	685	537	302	136	54	20	13
2019.3/4	성동구	성수2가1동	한국인	17,310	483	450	449	613	987	1,502	1,411	1,307	1,150	1,407	1,503	1,863	1,495	947	683	536	302	136	54	19	13
